acc;latin
abal;Abies alba
lade;Larix decidua
piab;Picea abies
pist;Pinus strobus
pisy;Pinus sylvestris
psme;Pseudotzuga menziesii
taba;Taxus baccata
acca;Acer campestre
acpl;Acer platanoides
acps;Acer pseudoplatanus
aehi;Aesculus hippocastanum
aial;Ailanthus altissima
algl;Alnus glutinosa
alin;Alnus incarna
alvi;Alnus viridis
besp;Betula spp.
cabe;Carpinus betulus
casa;Castanea sativa
fasy;Fagus sylvatica
frex;Fraxinus excelsior
fror;Fraxinus ornus
ilaq;Ilex aquifolium
juni;Juglans nigra
jure;Juglans regia
osca;Ostrya carpinifolia
otsp;Other species
posp;Populus spp.
potr;Populus tremula
prav;Prunus avium
quro;Quercus robur/petraea
qusp;Quercus spp.
rops;Robinia pseudoacacia
saca;Salix caprea
sasp;Salix spp.
soar;Sorbus aria
soau;Sorbus aucuparia
soto;Sorbus torminalis
tisp;Tilia spp.
ulsp;Ulmus spp.
